江西人用“老表”来相互指～。,称_3_05_01,称,动,称呼；被称为。
他补习了几个月，照～这试题应该能做出来。,说_2_06_01,说,动,用语言表达意思。
别把不同的种子掺～在一起,杂_1_03_03,杂,动,混合。
你把字写坏了，倒～来怪我。,转_3_03_01,转,动,改变方向、位置、形势、情况等。
他们干起活儿来，哪个也不稀～。,松_2_06_01,松,形,松散。
他还是去年二月里来过一封信，后～再没有来过信。注意“后来”跟“以后”的分别。a)“以后”可以单用，也可以作为后置成分，“后来”只能单用，例如只能说“七月以后”，不能说“七月后来”。b)“以后”可以指过去，也可以指将来，“后来”只指过去，例如只能说“以后你要注意”，不能说“后来你要注意”。,来_2_13_10,来,名,方位词，从过去到现在。
这篇小说成功地～造了一位知识分子的形象。,塑_1_02_01,塑,动,塑造。
会上没有人发言，空气很～闷。,沉_1_06_06,沉,形,感觉沉重。
万丈深～。,谷_1_02_01,谷,名,两山或两块高地中间的狭长而有出口的地带。
尚于博生于中国湖北，家境～实，他从小随父母到深圳生活，父母皆为商人，由于他们商务繁忙，所以他小时侯大部份时间都是孤独过活。,殷_1_03_01,殷,形,富饶，丰盛。
几件事～结在一起，一时想不出解决的办法。,扭_1_06_02,扭,动,拧。
～困的山区改变了面貌。,贫_1_04_01,贫,形,穷。
今天这场球一～手就打得很顺利。,上_2_14_12,上,动,开工。
插～万轴(形容藏书极多),架_1_07_01,架,名,支撑物，用于搭建或承载其他物体的结构。
植物的根吸收了养分，就～送到枝叶上去。,输_1_02_01,输,动,运输。
全文条理清楚，～辞严谨。也作措词。,措_1_02_01,措,动,安排；处理。
这是我的错儿，跟别人无～。,干_4_03_02,干,动,涉及。
背甲，～子锋利。,爪_2_03_02,爪,名,兽足。
偷奸耍～。也说耍滑头。,滑_1_05_03,滑,形,狡猾。
他穿的一双布鞋被雨水～透了。,浸_1_03_01,浸,动,泡在液体中。
一看他的脸～，我就知道准是有什么好消息。,色_2_08_02,色,名,神色，表情。
修筑堤堰，疏浚河道，防～防涝。,洪_1_03_02,洪,名,水势浩大，泛滥成灾。
说实话，办实事，体～出了他的务实精神。,现_1_05_05,现,动,显露。
家务有儿媳妇儿操持，婆婆就～心了,松_2_06_02,松,动,使松。
阿尔伯特·爱因斯坦的等效原理指出，对于一位处于引力场的观察者呈～止状态与一位不处于引力场的观察者呈加速度运动状态而言，假若这两位观察者感受到的力相等，则他们会无法分辨到底感受到的是引力还是因加速度而产生的惯性力（注意到惯性力的方向与加速度的方向相反，惯性力抗拒加速度运动）。,静_1_04_01,静,形,静止不动。
你越说越把我弄～乎了。,二_1_02_02,二,形,两个样子。
来办理，来招募各种名目的勤劳团、农业团、海军工员、高砂义勇队等；当时社会背景是尚武精神的风气，且战时种种措施，在乡青年皆必须编组受军事教练，又物资供需采配给制，还要面对盟军无情的轰炸威胁，使生活和心理倍受压抑，所以总督府在招募军夫的宣传，都是强调爱国和真男儿作为，并有高工资高福利的诱因下，立即～引了台湾青年踊跃报名参加。,吸_1_04_03,吸,动,引。
看模～，这家饭馆像是快要关张了。,样_1_05_01,样,名,样子，形状。
节日的广场装～得分外美丽。,扮_1_02_01,扮,动,扮演。
在今日，有一部分罗姆人正试图保持其传统生活方式，～无定所。,居_1_08_01,居,动,住。
祝～你们超额完成了计划,贺_1_02_01,贺,动,庆祝；庆贺。
话虽～常，意义却很深刻。,平_1_11_09,平,形,常见的。
不～卒读(不忍心读完，多形容文章悲惨动人)。,忍_1_02_02,忍,动,忍心。
第一卷从1980年8月21日的《设置经济特区，加快经济发展》（第五届全国人大常委会第十五次会议报告）到1997年8月5日的《再造一个山川～美的西北地区》（批示），共81篇。,秀_2_04_02,秀,形,聪明；灵巧。
著作等～(形容著作极多)。,身_1_06_01,身,名,身体。
门扇上的雕～已经残破了。,饰_1_04_03,饰,名,饰品。
来客请到传达室登个～。,记_1_07_02,记,动,记录，登记。
这一段跟下一段不很接～。,气_1_14_07,气,名,气势。
穗子～棱开像一把小伞。,扑_1_05_03,扑,动,拍击。
由研究所～头，几个大学参加，承担了国家的重点课题,牵_1_03_01,牵,动,拉。
孙中山于是一面扩充原有计划，就地加聘军官，一面令郑士良即日发动，并更改原定计划，不直逼省城，而先占领沿海一带，多集党众，等待孙中山的到来，等到有武器的支～后，然后再行攻取省城。,援_1_03_03,援,动,助。
黄色读物会～蚀青少年。,腐_1_02_01,腐,动,腐烂。
把祖国建设成为一个繁荣昌～的国家。,盛_2_08_03,盛,形,隆重。
她已经有了六七个月的身～。,子_4_02_01,子,缀,名词后缀，用于名词、形容词或动词性词素后。
一个作家任何时候都不应～离社会。,疏_1_08_03,疏,形,关系疏远；不亲近。
我国排球队在这次邀请赛中～杯。,夺_1_05_02,夺,动,争先取到。
几个人的技术水平，他都～底。,摸_1_04_03,摸,动,探索、尝试。
这群青年人的到来给县城增添了不少～色。,声_1_07_01,声,名,声音。
这部影片在艺术处理上粗～简练。,放_1_16_03,放,动,不加约束地行动或表现。
简而言之，要相信直～，更加关心在身边发生的“奇怪的”或“偶然的”事件。,觉_2_05_04,觉,名,领悟，觉悟。
秋分时节结果累累，螃蟹鱼虾肥美，金菊～黄。,正_1_19_07,正,形,纯正。
宋朝在多次对外战争中败北，只能与辽夏给予岁币以换取和平，国势已经到了刻不容缓之境地、司马光仍坚持宗法及伦理纲常治国等，但除尽罢新法外却提不出有效的政策方针，朱熹说司马光“温公之说，前后自不相照应，被他（章惇）一一捉～病痛，敲点出来”。,住_1_04_03,住,动,做动词的补语。a)表示牢固或稳当b)表示停顿或静止c)跟“得”连用，表示力量够得上；胜任。
长期的好处包含减少乳癌、心血管疾病，和类风湿性关～炎的风险。,节_2_09_01,节,名,物体各段的连接点。
他既然不愿意干，就叫他～人。,走_1_11_05,走,动,离去。
」可惜孙权不肯接受全琮的～劝，坚持发兵，经历数年的行军，出国的士卒果然疫病横生，死者十居八九，令孙权深感后悔。,规_1_05_03,规,动,劝告。
贯彻增产节约的方针～体到我们这个单位，应该采取下列各种有效措施。,具_2_03_01,具,动,具备某种特质或能力。
文章太长，需要删～一部分内容。,节_2_09_05,节,动,删减。
二十四年在洛阳参加进士考试，结果落～。,第_1_03_02,第,名,科第。
这门手艺是他祖父传～下来的。,授_1_02_02,授,动,教授，传授。
脸上流露出～视的神情。,蔑_1_02_01,蔑,形,微，小，轻。
这问题要通～群众，才能做出决定。,过_4_03_01,过,动,趋向动词，用在动词后，表示经过。
擦亮眼睛，不要被假～所迷惑。也作假相。,象_2_02_01,象,名,形貌；外观。
从氏族到国家，「民族」的用～有两种；前一种是相应著血缘关系而使用的「volk」，后一种则是充满著现代「民族」国家意味的「nation」。,法_1_07_02,法,名,方法；计策。
